Title,Company,Experience,Location,Skills,Summary
Counselors/Faculty/Marketing Openings,Triumphant institute of management education,1 to 3 Yrs,Surat,"Skills :ul, teaching, marketing, hindi, chemistry","We are looking for committed teachers, passionate towards teaching and interested in building a long term career in Academics. More importantly, you'll be part of a team, that makes a"
College Student Internship in Ahmedabad,MAXGEN TECHNOLOGIES PRIVATE LIMITED,0 to 1 Yr,Surat,"Skills :asp.net, python, testing, android, software","Maxgen Technologies is open For BCA,Bsc,BE,B.tech MCA,MSc ,M.tech Internship. MNC company Live Projects definition letter on paper Job Guarantee Experience staff Assured Job after internship internship in : Asp.net,PHp,Java,software Testing,Python"
Business Development Executive,EquityPandit Financial Services Pvt. Ltd,0 to 1 Yr,Surat,"Skills :marketing, sales, customer, development, business",Excellent Opportunity for those who are looking for a company where they can Earn as much as they want. It is a company which is a BRAND in the industry.
SAFETY SUPERVISOR,Aarvi Encon Pvt Ltd,3 to 8 Yrs,Surat,"Skills :tax, training, joining, analysis, control","We require Safety Supervisor for our client based at Hazira, Surat, Gujarat. The said job opening is on contract basis which will be period of Six months and extendable. The"
Showroom Sales Executives,THE REAL PLACEMENTS,3 to 5 Yrs,Surat,"Skills :sales, customer service, billing, cash management, retail sales",Showroom Sales Executives - Surat New Jobs Job Details The Real Placement Send your Application Understanding customers need and helping the customer to buy the right product Undertaking administrative jobs
Customer Support Executive,Triveni Sarees,2 to 4 Yrs,Surat,"Skills :support, training, communication, customer, ecommerce",Listing items on various e-commerce websites and managing orders through them. Responding to customer query emails and live chats. Handling customer query phone calls. BACKGROUND AND SKILLS REQUIRED: The ideal
Customer Support Executive,Triveni Sarees,2 to 5 Yrs,Surat,"Skills :training, communication, support, analytical, customer",Listing items on various e- commerce websites and managing orders through them. Responding to customer query emails and live chats. Handling customer query phone calls. BACKGROUND AND SKILLS REQUIRED: The
Precision Metal - Wire Cut Operator/Programmer,All India Solution Services,2 to 5 Yrs,Surat,"Skills :servicing, machinery, operations, training, engineering",1. Able to run vacuum forming machine after training. 2. Able to maintain log book of machine maintenance. 3. Able to understand and do troubleshooting of machines in breakdown condition.
Listings Executive,Triveni Sarees,2 to 5 Yrs,Surat,"Skills :troubleshooting, communication, basic, english, training","JOB PROFILE: Preparing products for listings - product details, including catalog details such as the product names and descriptions Uploading the product details on our website and other marketplaces Fixing"
Fulfillment Executive,Triveni Sarees,2 to 5 Yrs,Surat,"Skills :training, communication, invoices, order, analytical","Ensuring the order- fulfillment in our IT system Preparing invoices, ordering the supplies team if required and preparing invoices Order status updates in IT system BACKGROUND AND SKILLS REQUIRED: The"
Inventory coordinator,Triveni Sarees,2 to 5 Yrs,Surat,"Skills :training, system, communication, sales, analytical","PROFILE: Tracking and maintaining inventory in the inventory system. Periodic physical audits, and resolving discrepancies if any. Ensuring daily or periodic inventory updates to various sales channels - our website,"
Graphic Designer,Triveni Sarees,2 to 5 Yrs,Surat,"Skills :photoshop, editing, training, english, operations","Much of e- commerce operations are about keeping in constant touch with our patrons - be it through various schemes, offers, newsletters and keeping a quality customer service. Frequent creation"
Fulfillment Executive,Triveni Sarees,2 to 4 Yrs,Surat,"Skills :training, communication, invoices, analytical, implementation","Ensuring the order-fulfillment in our IT system Preparing invoices, ordering the supplies team if required and preparing invoices Order status updates in IT system BACKGROUND AND SKILLS REQUIRED: The ideal"
Customer Support Executive,Triveni Sarees,2 to 7 Yrs,Surat,"Skills :communication, support, basic, english, ul",JOB PROFILE: Listing items on various e-commerce websites and managing orders through them. Responding to customer query emails and live chats. Handling customer query phone calls.
Direct Sales Executive,Triveni Sarees,2 to 7 Yrs,Surat,"Skills :english, training, sales, communication, following","Responding to and contacting wholesale buyers. Understanding buyer requirements, recommending products and following up with them. Closing and tracking the orders to the buyers. BACKGROUND AND SKILLS REQUIRED: The ideal"
Physiotherapy- HOD,Uka Tarsadia University,12 to 15 Yrs,Surat,"Skills :teaching, research, education, communication, analytical",Excellent communication skill Good Analytical and conceptual skills Dedication and sincerity for teaching as well as research Curriculum and programmes development skill Participation in continuing education and professional development programmes
Physics- DIRECTOR,Uka Tarsadia University,15 to 18 Yrs,Surat,"Skills :teaching, research, education, communication, analytical",Excellent communication skill Good Analytical and conceptual skills Dedication and sincerity for teaching as well as research Curriculum and programmes development skill Participation in continuing education and professional development programmes
Physiotherapy- DIRECTOR,Uka Tarsadia University,15 to 18 Yrs,Surat,"Skills :teaching, research, education, communication, analytical",Excellent communication skill Good Analytical and conceptual skills Dedication and sincerity for teaching as well as research Curriculum and programmes development skill Participation in continuing education and professional development programmes
Academic Counselor cum Center Head,MyCitySurat,3 Yrs,Surat,"Skills :sales, Academic Counselling, good communication skills","Candidate should be Graduate. Should have minimum 3 years of experience in Academic Counselling or sales. Job Timing : 9:30am - 7:00pm. Salary : Rs.18000/- to 25000/-PM. ,"
Accountant Cum Digital Marketing Executive,MyCitySurat,0 to 1 Yr,Surat,"Skills :knowledge of Accounting, good knowledge of Computer, Internet",Candidate should be Graduate. Should have basic knowledge of Accounting. Should have command over English. Should have good knowledge of Computer and Internet. Fresher can apply. Job timing : 11:00pm
Admin Executive,MyCitySurat,1 to 3 Yrs,Surat,"Skills :excellent comminication skill, knowledge of computer",Candidate should be Graduate. Should have 1-3 years of experience in same field. Should have fluency in English and presentable. Job Timing : 10am to 7.30pm. Salary : Rs.15000/- to
"Admin Executive, Female",MyCitySurat,1 to 2 Yrs,Surat,"Skills :excellent comminication skill, knowledge of computer","Candidate should be Graduate. Should have 1-2 years of experience in same field. Job Timing : 10.00AM to 6.30PM. Salary : Upto Rs.12000/-PM. ,"
Administrator,MyCitySurat,0 to 2 Yrs,Surat,"Skills :administration, communication skills, Computer knowledge, administration w, k","Candidate should be HSC. Should have good communication skills. Should have good knowledge of administration work. Job Timing : 9:30am - 7:30pm. Salary : Rs.7500/- to 10000/-PM. ,"
Assistant Producer,MyCitySurat,1 to 2 Yrs,Surat,"Skills :marketing, social media, communication, media marketing, social media marketing","Candidate should have fluent English, Gujarati and Hindi Communication. Basic Knowledge of Social Media Marketing is required. Should be able to handle the clients with confidence. Should be dynamic personality."
Assistant to Director,MyCitySurat,1 Yrs,Surat,"Skills :good in Email Drafting, Computer knowledge, good communication skills","Candidate should be Graduate. Should have fluency in English, Hindi and Gujarati language. Should be ready for travelling sometimes. Should be good in Email Drafting. Job Timing : 10:00am -"
"B2B/Online Sales Executive, Female",MyCitySurat,1 to 2 Yrs,Surat,"Skills :good communication skill, computer knowledge, spoken english, enthusiastic, able to motivate others",Candidate should be Graduate or above. Should have 1 to 2 years of experience in same field (online market place). Freshers can also apply. Job timing : 10.00AM to 7.00PM.
B2C Sales Executive,MyCitySurat,2 to 3 Yrs,Surat,"Skills :b2c, knowledge of ECommerce web p, tals, Listing, Processing","Candidate should be Graduate or above with 2-3 years of experience of dealing in B2C. Good command on English is required. Should have knowledge of E-Commerce web portals, Listing and"
Back Office Executive,MyCitySurat,1 Yrs,Surat,"Skills :good communication skill, computer knowledge","Candidate should be HSC or Above. Should have 6 months or 1 year of experience in back office. Job Timing : 9:00am to 7:00pm. Salary : Upto Rs.10000/- PM. ,"
Back Office Executive,MyCitySurat,0 to 1 Yr,Surat,"Skills :good communication skill, computer knowledge","Candidate should be Graduate. should have basic knowledge of computer. Job Timing : 10.00AM to 6.30PM. Salary : Upto Rs.8000/-PM. ,"
Back Office Executive,MyCitySurat,0 to 1 Yr,Surat,"Skills :basic knowledge of MS Office, Tally",Candidate should be HSC or Graduate. Should have basic knowledge of MS Office and Tally. Should have good typing speed. Job Timing : 10:00am to 7:00pm. Salary : Upto Rs.10000/-PM.
Business Development Executive,MyCitySurat,0 to 1 Yr,Surat,"Skills :sales, business development, good communication skill, good personality",Candidate should be Graduate or above. Should have 0-1 years experience as Business Development Executive. Should have pleasant and dynamic personality as well as good communication skill in English. Job
Business Development Executive,MyCitySurat,1 to 2 Yrs,Surat,"Skills :sales, strategy, communication, growth strategy, market knowledge",Candidate should be Graduated or above and having minimum 1-2 year of experience in same field. Should have pleasant and dynamic personality as well as good communication skill. Job profile
Business Development Executive,MyCitySurat,0 to 1 Yr,Surat,"Skills :sales, writing, bidding, online bidding, costing","Candidate should be Graduate. Should have experience in online bidding on various portal like Freelancer, Upwork, Guru, People Per Hour, etc. Should have knowledge of Writing Proposal, Costing, Negotiations, Prepare"
Business Development Manager / Executive,MyCitySurat,0 to 1 Yr,Surat,"Skills :sales, bidding, research, strategy, marketing","Candidate should be Graduate/B.Tech/MBA. Should have minimum 1-year experience on bidding portals like Upwork, Freelancer, Guru, PPH etc. Should have proven experience/excellent track record with medium & large size projects."
C developer,MyCitySurat,0 to 1 Yr,Surat,"Skills :Java Script, jQuery, AJAX, HTML, CSS","Candidate Should be Graduate or Diploma. Should have 0-1 year of experience in same field. Job Timing : 11.00AM to 8.00PM. Salary : Upto Rs.12000/-PM. ,"
Chartered Accountant Inter,MyCitySurat,1 to 2 Yrs,Surat,"Skills :tax, income tax, mis, finance, taxation",Candidates should be Graduate / Post Graduate and with experience of Income Tax Matters and worked in CA Office. Should have completed Article ship. Should be handling Income Tax Files.
Chief Financial Officer,MyCitySurat,10 to 15 Yrs,Surat,"Skills :SAP, finance, knowledge in banking","Candidate must be CA or FCA, Msc (Organic Chemistry), M.com, B.com. Should be Smart, Knowledgeable, Fast and ready to take challenge, having knowledge in banking, SAP oriented and manage of"
CNC Operator,MyCitySurat,0 to 1 Yr,Surat,"Skills :cnc, tool selection, VMC machine tools, CNC Machine, CNC Turning",Candidate should be SSC / HSC / ITI / Diploma Mechanical. Should have 0-1 year of experience as CNC Operator. Job Timing : 8:00am - 8:00pm. Salary : Upto Rs.10000/-PM.
Computer Operator,MyCitySurat,1 to 4 Yrs,Surat,"Skills :tally, ms office, basic knowledge of computer",Candidate should be Graduate. Should have good knowledge of Tally and MS Office. Should have 6 Months to 1 Year of experience in same field. Job Timing : 10:30am -
Content Writer,MyCitySurat,1 to 2 Yrs,Surat,"Skills :good command on English, proficient in writing content",Candidate should be Graduate with good command on English. Should have 1-2 years of experience as a Content Writer. Job Timing : 9:30am to 7:00pm. Salary : No bar for
Content Writer,MyCitySurat,0 to 1 Yr,Surat,"Skills :proficient in writing content, Computer knowledge, Good communication skills","Candidate should be Graduate. Should have minimum 6 months or 1 year of experience as Content Writer. Job Timing : 9:30am - 6:30pm. Salary : Upto Rs.15000/-PM. ,"
